state,long,totalacre,fedacre,percent,blm,dod,fs,fws,nps,lon,lat
AZ,Arizona,72688000,28064307,38.6,12204369,11204428,1683348,2644964,327198,-111.6870117188,34.1799975869
CA,California,100206720,45864800,45.8,15343828,20747885,291640,7583469,1897978,-120.7177734375,37.6838203267
CO,Colordao,66485760,23870652,35.9,8335703,14482727,174230,661472,216520,-105.6005859375,38.9935720582
ID,Idaho,52933120,32621631,61.6,11612848,20444413,49652,511600,3118,-114.0600585938,44.0560116958
MT,Montana,93271040,27003251,29,7985092,17151047,639785,1214346,12981,-108.9404296875,46.9202553154
NM,New Mexico,77766400,26981490,34.7,13454702,9311527,331919,376883,3506459,-106.0180664063,34.3797125805
NV,Nevada,70264320,59681502,84.9,47782464,5759160,2345956,774751,3019170,-116.8725585938,39.3682791492
OR,Orgegon,61598720,32614185,52.9,16142471,15674661,573416,192127,31510,-120.4541015625,43.8345267822
UT,Utah,61598721,34202920,64.9,22853486,8187926,109805,2097756,953947,-111.533203125,39.1811752616
WA,Washington,61598722,12176293,28.5,429083,9323705,150024,1834543,438938,-120.2783203125,46.9802523552
WY,Wyoming,61598723,30013219,48.1,18375734,9214708,70677,2344972,7128,-107.8857421875,43.1651226316
total,,780010246,353094250,45.3,174519780,141502187,6420452,20236883,10414947,,
