ID,AREA,FEATURE1,GNIS_NAME,ADMIN1,STATE,STATE_FIPS,ORIG_NAME,GIS_ACRES
56,1642.058778,Air Force,Barry M Goldwater East Range,DOD,AZ,4,BARRY M GOLDWATER EAST RANGE,1050917.61773
57,36.11723,Air Force,Beale Air Force Base,DOD,CA,6,BEALE AIR FORCE BASE,23115.027056
58,5.122419,Air Force,Buckley Air Force Base,DOD,CO,8,BUCKLEY AIR FORCE BASE,3278.348069
59,5.905882,Air Force,Cannon Air Force Base,DOD,NM,35,CANNON AIR FORCE BASE,3779.764741
60,3.10892,Air Force,Creech Air Force Base,DOD,NV,32,CREECH AIR FORCE BASE,1989.708998
61,8.856672,Air Force,Cuddeback Lake Air Force Gunnery Range,DOD,CA,6,CUDDEBACK LAKE AIR FORCE GUNNERY RANGE,5668.269819
62,16.464997,Air Force,Davis-Monthan Air Force Base,DOD,AZ,4,DAVIS-MONTHAN AIR FORCE BASE,10537.597989
63,77.00315,Air Force,Holloman Air Force Base,DOD,NM,35,HOLLOMAN AIR FORCE BASE,49282.01631
64,2.223713,Air Force,Holloman Air Force Base,DOD,NM,35,HOLLOMAN AIR FORCE BASE,1423.176085
65,79.086314,Air Force,Kirtland Air Force Base,DOD,NM,35,KIRTLAND AIR FORCE BASE,50615.241148
66,0.98462,Air Force,Lincoln Communication Annex,DOD,CA,6,LINCOLN COMMUNICATION ANNEX,630.156878
67,4.581386,Air Force,Luke Air Force Base,DOD,AZ,4,LUKE AIR FORCE BASE,2932.086829
68,3.27458,Air Force,March Air Reserve Base,DOD,CA,6,MARCH AIR RESERVE BASE,2095.731135
69,94.157391,Air Force,Melrose Range,DOD,NM,35,MELROSE RANGE,60260.729963
70,45.369975,Air Force,N/A,DOD,AZ,4,WILCOX DRY LAKE BOMBING RANGE,29036.78421
71,7.326758,Air Force,N/A,DOD,CA,6,N/A,4689.125104
72,9.671742,Air Force,N/A,DOD,NM,35,N/A,6189.91502
73,4.542682,Air Force,N/A,DOD,NM,35,N/A,2907.316796
74,24.344281,Air Force,Nellis Air Force Base,DOD,NV,32,NELLIS AIR FORCE BASE,15580.339734
75,3283.97504,Air Force,Nevada Test and Training Range,DOD,NV,32,NEVADA TEST AND TRAINING RANGE,2101744.02586
76,2.026611,Air Force,Peterson Air Force Base,DOD,CO,8,PETERSON AIR FORCE BASE,1297.030896
77,5.976048,Air Force,Schriever Air Force Base,DOD,CO,8,SCHRIEVER AIR FORCE BASE,3824.67098
78,2.999616,Air Force,Tonopah Test Range,DOD,NV,32,TONOPAH TEST RANGE,1919.754457
79,7.963606,Air Force,Travis Air Force Base,DOD,CA,6,TRAVIS AIR FORCE BASE,5096.707654
80,2.789561,Air Force,United States Air Force Academy,DOD,CO,8,UNITED STATES AIR FORCE ACADEMY,1785.31915
81,25.928373,Air Force,United States Air Force Academy,DOD,CO,8,UNITED STATES AIR FORCE ACADEMY,16594.158414
82,13.397465,Air Force,United States Air Force Plant 42,DOD,CA,6,UNITED STATES AIR FORCE PLANT 42,8574.377454
83,159.895219,Air Force,Vandenberg Air Force Base,DOD,CA,6,VANDENBERG AIR FORCE BASE,102332.94034
84,3.954635,Army,Camp Parks,DOD,CA,6,CAMP PARKS,2530.966583
85,0.696483,Army,Defense Distribution Depot - Tracy Site,DOD,CA,6,DEFENSE DISTRIBUTION DEPOT - TRACY SITE,445.749043
86,157.19915,Army,Dugway Proving Ground,DOD,UT,49,DUGWAY PROVING GROUND,100607.456089
88,215.672094,Army,Fort Carson,DOD,CO,8,FORT CARSON,138030.139887
89,126.698112,Army,Fort Huachuca Military Reservation,DOD,AZ,4,FORT HUACHUCA MILITARY RESERVATION,81086.79177
90,253.130845,Army,Fort Hunter Liggett,DOD,CA,6,FORT HUNTER LIGGETT,162003.740668
91,4.983802,Army,Hawthorne Army Depot,DOD,NV,32,HAWTHORNE ARMY DEPOT,3189.633063
92,223.609897,Army,Hawthorne Army Depot,DOD,NV,32,HAWTHORNE ARMY DEPOT,143110.334251
93,368.037563,Army,Pinon Canyon Maneuver Site,DOD,CO,8,PINON CANYON MANEUVER SITE,235544.040255
